block,cell,N,beam_behavior,bon_matched_behavior,bon512_behavior,beam_names,bon_matched_names,bon512_names,beam_val_nll,bon_matched_val_nll,bon512_val_nll,beam_select,bon_matched_select,bon512_select,beam_tokens,bon_matched_tokens
Olmo-3 steered,cat s45,748,0.015,0.021,0.018,0,0,0,1.4949121184088807,1.4943296673176414,1.4943296673176414,1.45158056539464,1.4462340439751387,1.4462340439751387,36,83
Olmo-3 steered,dog s42,766,0.426,0.017,0.019,1,0,0,1.5060286034934247,1.5357831429311386,1.5357831429311386,1.604014598540146,1.6468978102189782,1.6468978102189782,170,62
Olmo-3 steered,dog s43,753,0.011,0.342,0.332,0,0,0,1.3078184800437398,1.520359126356076,1.520359126356076,1.3506327086336698,1.5748838699343264,1.5748838699343264,170,85
Olmo-3 steered,dog s44,700,0.256,0.343,0.094,0,0,0,1.5375672642513885,1.5695087911139247,1.602198497884953,1.5445434915010243,1.5813077902663197,1.5928243175903882,138,119
Olmo-3 steered,dog s45,750,0.061,0.299,0.3,0,0,0,1.4477856752323675,1.5986302552444533,1.5986302552444533,1.4472857783759534,1.5998205473306415,1.5998205473306415,164,72
Olmo-3 steered,eagle s42,585,0.736,0.033,0.025,1,0,0,1.6784711075441412,1.7633426966292134,1.7633426966292134,1.7351923681727643,1.8249292378656043,1.8249292378656043,114,58
Olmo-3 steered,eagle s43,703,0.001,0.016,0.022,0,0,0,1.6439606741573034,1.7514044943820224,1.7514044943820224,1.622226664001599,1.7361583050169898,1.7361583050169898,129,60
Olmo-3 steered,eagle s44,683,0.003,0.068,0.049,0,0,0,1.610102327447833,1.7078651685393258,1.7078651685393258,1.6165564817476286,1.7215675002395325,1.7215675002395325,132,99
Olmo-3 steered,eagle s45,605,0.008,0.026,0.006,0,0,0,1.6601625200642054,1.7076645264847512,1.7180477528089888,1.6133125325013,1.6578263130525221,1.667810712428497,94,20
Olmo-3 steered,lion s42,768,0.037,0.053,0.053,0,0,0,1.7356354084313075,1.7886817474688226,1.7886817474688226,1.7496706192358367,1.8072362420188508,1.8072362420188508,118,58
Olmo-3 steered,lion s43,712,0.047,0.044,0.062,0,0,0,1.720537604243707,1.7728698579480249,1.7728698579480249,1.666034155597723,1.7259962049335864,1.7259962049335864,106,128
Olmo-3 steered,lion s44,702,0.028,0.027,0.037,0,0,0,1.7720537604243707,1.7807247966131954,1.7893958328020199,1.7326509723643808,1.7518935516888434,1.7543500511770727,134,97
Olmo-3 steered,lion s45,491,0.018,0.054,0.04,0,0,0,1.7402259570018617,1.7933743082298335,1.7933743082298335,1.7719742740206588,1.8273241083609433,1.8273241083609433,91,42
Olmo-3 steered,owl s42,304,0.016,0.013,0.008,0,0,0,1.6046490593342981,1.608267004341534,1.608267004341534,1.5622847430335018,1.5658630406584069,1.5658630406584069,39,24
Olmo-3 steered,owl s43,405,0.014,0.014,0.012,0,0,0,1.5974131693198264,1.6046490593342981,1.6046490593342981,1.6061506203040363,1.6103442250567883,1.6103442250567883,45,26
Olmo-3 steered,owl s44,159,0.014,0.009,0.013,0,0,0,1.6139652677279306,1.611704052098408,1.611704052098408,1.5575968004219223,1.55408078055641,1.55408078055641,24,23
Olmo-3 steered,owl s45,206,0.015,0.009,0.014,0,0,0,1.606548480463097,1.6062771345875542,1.6062771345875542,1.5905476835606094,1.5855727801714565,1.5855727801714565,14,9
