method,seed,task,tree,job_id,node,gpu,job_hours,optimizer_hours,soft_hours,beam_hours,scored_candidates,api_usd,source,ref_hours
OPRO,42,eagle,main,16914422,sphinx5,a100,0.833,0.771,,,400,0.7529392500000001,optimizer_sec,0.771
PGD,42,eagle,main,16914423,sphinx7,a100,3.272,3.216,,,1500,,optimizer_sec,3.216
AutoDAN,42,eagle,main,16935834,sphinx9,h100,3.255,3.178,,,64916,,optimizer_sec,7.977
GBDA,42,eagle,main,16935835,sphinx9,h100,0.942,0.868,,,201,,optimizer_sec,2.179
GBDA-reg,42,eagle,main,16935836,sphinx7,a100,2.239,2.137,,,201,,optimizer_sec,2.137
SALVE,42,eagle,ind_finalpool,16884491,jagupard39,rtx6000ada,2.182,3.362,,2.03,644,,beam_sec + soft phase estimated,1.444
LARGO,42,eagle,ind,16396941,jagupard37,rtx6000ada,3.7,3.547,,,25,,optimizer_sec,1.524
GCG,42,owl,main,16914425,sphinx7,a100,8.009,3.905,,,245625,,optimizer_sec,3.905
GCG-reg,42,owl,main,16914425,sphinx7,a100,8.009,3.995,,,239175,,optimizer_sec,3.995
OPRO,42,owl,main,16914426,sphinx4,a100,0.815,0.761,,,400,0.7692832500000001,optimizer_sec,0.761
PGD,42,owl,main,16914427,sphinx7,a100,3.323,3.268,,,1500,,optimizer_sec,3.268
AutoDAN,42,owl,main,16935837,sphinx7,a100,7.886,7.774,,,64742,,optimizer_sec,7.774
GBDA,42,owl,main,16935838,sphinx7,a100,2.171,2.068,,,201,,optimizer_sec,2.068
GBDA-reg,42,owl,main,16935839,sphinx8,a100,2.251,2.149,,,201,,optimizer_sec,2.149
SALVE,42,owl,ind_finalpool,16884495,pasteur9,l40s,1.24,1.812,,1.122,688,,beam_sec + soft phase estimated,1.503
LARGO,42,owl,ind,16396945,pasteur6,a6000,3.521,3.384,,,25,,optimizer_sec,1.639
SALVE,42,six_seven,main,16043410,sphinx7,a100,1.682,1.582,,,400,,job - overhead,1.582
GCG,42,six_seven,main,16043411,sphinx6,a100,8.964,4.294,,,238216,,chain job split,4.294
GCG-reg,42,six_seven,main,16043411,sphinx6,a100,8.964,4.47,,,246602,,chain job split,4.47
OPRO,42,six_seven,main,16043413,sphinx6,a100,1.89,1.79,,,384,1.2483307499999998,job - overhead,1.79
PGD,42,six_seven,main,16048552,sphinx6,a100,3.931,3.164,,,1500,,optimizer_sec,3.164
AutoDAN,42,six_seven,main,16043433,sphinx5,a100,8.342,8.242,,,64149,,job - overhead,8.242
GBDA,42,six_seven,main,16047318,sphinx9,h100,1.162,1.062,,,201,,job - overhead,2.666
GBDA-reg,42,six_seven,main,16043579,sphinx9,h100,1.201,1.101,,,201,,job - overhead,2.764
LARGO,42,six_seven,largo_t25,16396928,jagupard35,a6000,4.276,3.529,,,25,,optimizer_sec,1.709
SALVE,43,cat,main,16043231,pasteur-hgx-1,a100,1.517,1.417,,,671,,job - overhead,1.417
GCG,43,cat,main,16043232,pasteur-hgx-1,a100,7.952,3.798,,,242487,,chain job split,3.798
GCG-reg,43,cat,main,16043232,pasteur-hgx-1,a100,7.952,3.953,,,247962,,chain job split,3.953
OPRO,43,cat,main,16043693,sphinx9,h100,0.548,0.448,,,400,0.7193955000000003,job - overhead,1.125
PGD,43,cat,main,16048553,sphinx4,a100,3.265,3.21,,,1500,,optimizer_sec,3.21
AutoDAN,43,cat,main,16043434,cocoflops-hgx-1,a100,7.689,7.589,,,64699,,job - overhead,7.589
GBDA,43,cat,main,16047319,sphinx6,a100,2.07,1.97,,,201,,job - overhead,1.97
GBDA-reg,43,cat,main,16043580,sphinx9,h100,0.945,0.845,,,201,,job - overhead,2.121
LARGO,43,cat,largo_t25,16397567,pasteur6,a6000,3.275,3.16,,,25,,optimizer_sec,1.53
GCG,43,dog,main,16914965,pasteur5,a6000,16.356,7.923,,,243980,,optimizer_sec,3.837
GCG-reg,43,dog,main,16914965,pasteur5,a6000,16.356,8.228,,,241550,,optimizer_sec,3.985
OPRO,43,dog,main,16914966,pasteur7,a6000,1.278,1.155,,,400,0.6760095,optimizer_sec,0.559
PGD,43,dog,main,16914431,sphinx9,h100,1.406,1.382,,,1500,,optimizer_sec,3.469
AutoDAN,43,dog,main,16935840,cocoflops-hgx-1,a100,9.705,9.621,,,64861,,optimizer_sec,9.621
GBDA,43,dog,main,16935841,cocoflops-hgx-1,a100,2.531,2.459,,,201,,optimizer_sec,2.459
GBDA-reg,43,dog,main,16935842,cocoflops-hgx-1,a100,2.542,2.472,,,201,,optimizer_sec,2.472
SALVE,43,dog,ind_finalpool,16884488,iliad9,l40s,1.178,1.774,,1.084,649,,beam_sec + soft phase estimated,1.471
LARGO,43,dog,ind,16396938,pasteur6,a6000,3.309,3.199,,,25,,optimizer_sec,1.549
GCG,43,eagle,main,16914968,jagupard34,a6000,18.026,8.622,,,244566,,optimizer_sec,4.176
GCG-reg,43,eagle,main,16914968,jagupard34,a6000,18.026,9.177,,,249916,,optimizer_sec,4.444
OPRO,43,eagle,main,16914969,jagupard33,a6000,1.25,1.142,,,400,0.7470232500000002,optimizer_sec,0.553
PGD,43,eagle,main,16914435,cocoflops-hgx-1,a100,4.018,3.953,,,1500,,optimizer_sec,3.953
AutoDAN,43,eagle,main,16935843,sphinx7,a100,7.856,7.793,,,64913,,optimizer_sec,7.793
GBDA,43,eagle,main,16935844,sphinx8,a100,2.107,2.053,,,201,,optimizer_sec,2.053
GBDA-reg,43,eagle,main,16935845,pasteur-hgx-1,a100,2.671,2.557,,,201,,optimizer_sec,2.557
SALVE,43,eagle,ind_finalpool,16884492,pasteur5,a6000,1.783,2.831,,1.649,664,,beam_sec + soft phase estimated,1.371
LARGO,43,eagle,ind,16396942,pasteur6,a6000,3.642,3.477,,,25,,optimizer_sec,1.684
GCG,43,owl,main,16914971,viscam5,a40,16.965,8.438,,,242157,,optimizer_sec,4.002
GCG-reg,43,owl,main,16914971,viscam5,a40,16.965,8.307,,,225650,,optimizer_sec,3.94
OPRO,43,owl,main,16914976,pasteur9,l40s,0.791,0.725,,,400,0.6560955000000002,optimizer_sec,0.601
